survived,pclass,age,sibsp,parch,fare,adult_male,alone,embarked_Q,embarked_S,class_Second,age_fare_ratio
0,3,22.0,1,0,7.25,1,0,0,1,0,2.6666666666666665
1,1,38.0,1,0,65.6563,0,0,0,0,0,0.5700886487848861
1,3,26.0,0,0,7.925,0,1,0,1,0,2.9131652661064424
1,1,35.0,1,0,53.1,0,0,0,1,0,0.6469500924214417
0,3,35.0,0,0,8.05,1,1,0,1,0,3.867403314917127
0,3,28.0,0,0,8.4583,1,1,1,0,0,2.960362855904338
0,1,54.0,0,0,51.8625,1,1,0,1,0,1.0215180893828328
0,3,2.5,3,1,21.075,0,0,0,1,0,0.11325028312570781
1,3,27.0,0,2,11.1333,0,0,0,1,0,2.2252808386836227
1,2,14.0,1,0,30.0708,0,0,0,0,1,0.4505838279027254
1,3,4.0,1,1,16.7,0,0,0,1,0,0.22598870056497175
1,1,54.5,0,0,26.55,0,1,0,1,0,1.9782214156079854
0,3,20.0,0,0,8.05,1,1,0,1,0,2.209944751381215
0,3,39.0,1,5,31.275,1,0,0,1,0,1.2083656080557708
0,3,14.0,0,0,7.8542,0,1,0,1,0,1.5811705179462856
1,2,54.5,0,0,16.0,0,1,0,1,1,3.2058823529411766
0,3,2.5,4,1,29.125,0,0,1,0,0,0.08298755186721991
1,2,28.0,0,0,13.0,1,1,0,1,1,2.0
0,3,31.0,1,0,18.0,0,0,0,1,0,1.631578947368421
1,3,28.0,0,0,7.225,0,1,0,0,0,3.404255319148936
0,2,35.0,0,0,26.0,1,1,0,1,1,1.2962962962962963
1,2,34.0,0,0,13.0,1,1,0,1,1,2.4285714285714284
1,3,15.0,0,0,8.0292,0,1,1,0,0,1.6612767465556197
1,1,28.0,0,0,35.5,1,1,0,1,0,0.7671232876712328
0,3,8.0,3,1,21.075,0,0,0,1,0,0.36240090600226504
1,3,38.0,1,5,31.3875,0,0,0,1,0,1.1732921651871864
0,3,28.0,0,0,7.225,1,1,0,0,0,3.404255319148936
0,1,19.0,3,2,65.6563,1,0,0,1,0,0.28504432439244304
1,3,28.0,0,0,7.8792,0,1,1,0,0,3.1534372465987923
0,3,28.0,0,0,7.8958,1,1,0,1,0,3.147552777715326
0,1,40.0,0,0,27.7208,1,1,0,0,0,1.3927188657697558
1,1,28.0,1,0,65.6563,0,0,0,0,0,0.4200653201572844
1,3,28.0,0,0,7.75,0,1,1,0,0,3.2
0,2,54.5,0,0,10.5,1,1,0,1,1,4.739130434782608
0,1,28.0,1,0,65.6563,1,0,0,0,0,0.4200653201572844
0,1,42.0,1,0,52.0,1,0,0,1,0,0.7924528301886793
1,3,28.0,0,0,7.2292,1,1,0,0,0,3.4025178632187822
0,3,21.0,0,0,8.05,1,1,0,1,0,2.320441988950276
0,3,18.0,2,0,18.0,0,0,0,1,0,0.9473684210526315
1,3,14.0,1,0,11.2417,0,0,0,0,0,1.1436320118937728
0,3,40.0,1,0,9.475,0,0,0,1,0,3.8186157517899764
0,2,27.0,1,0,21.0,0,0,0,1,1,1.2272727272727273
0,3,28.0,0,0,7.8958,1,1,0,0,0,3.147552777715326
1,2,3.0,1,2,41.5792,0,0,0,0,1,0.07045693672027657
1,3,19.0,0,0,7.8792,0,1,1,0,0,2.139832417334895
0,3,28.0,0,0,8.05,1,1,0,1,0,3.0939226519337013
0,3,28.0,1,0,15.5,1,0,1,0,0,1.696969696969697
1,3,28.0,0,0,7.75,0,1,1,0,0,3.2
0,3,28.0,2,0,21.6792,1,0,0,0,0,1.2346114501393346
0,3,18.0,1,0,17.8,0,0,0,1,0,0.9574468085106382
0,3,7.0,4,1,39.6875,0,0,0,1,0,0.17204301075268819
0,3,21.0,0,0,7.8,1,1,0,1,0,2.3863636363636362
1,1,49.0,1,0,65.6563,0,0,0,0,0,0.7351143102752478
1,2,29.0,1,0,26.0,0,0,0,1,1,1.0740740740740742
